host_since,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,reviews_per_month,n_bathrooms,bath_shared,emailhost_verification,phonehost_verification,photographerhost_verification,work_emailhost_verification,neighbourhood_cleansed_Arbutus Ridge,neighbourhood_cleansed_Downtown,neighbourhood_cleansed_Downtown Eastside,neighbourhood_cleansed_Dunbar Southlands,neighbourhood_cleansed_Fairview,neighbourhood_cleansed_Grandview-Woodland,neighbourhood_cleansed_Hastings-Sunrise,neighbourhood_cleansed_Kensington-Cedar Cottage,neighbourhood_cleansed_Kerrisdale,neighbourhood_cleansed_Killarney,neighbourhood_cleansed_Kitsilano,neighbourhood_cleansed_Marpole,neighbourhood_cleansed_Mount Pleasant,neighbourhood_cleansed_Oakridge,neighbourhood_cleansed_Renfrew-Collingwood,neighbourhood_cleansed_Riley Park,neighbourhood_cleansed_Shaughnessy,neighbourhood_cleansed_South Cambie,neighbourhood_cleansed_Strathcona,neighbourhood_cleansed_Sunset,neighbourhood_cleansed_Victoria-Fraserview,neighbourhood_cleansed_West End,neighbourhood_cleansed_West Point Grey,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_response_time_Unspecified,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,alarm_amenitie,dryer_amenitie,parking_amenitie,water_amenitie,coffee_amenitie,material_amenitie,grill_amenitie,wine_amenitie,backyard_amenitie,pool_amenitie
2020-02-01,False,True,True,49.24876,-123.04477,7,4.0,4.0,278.0,5,1125,5,5,1125,1125,5.0,1125.0,14,44,74,236,39,11,1,2020-06-15,2023-02-19,4.97,5.0,5.0,4.9,4.97,4.92,4.77,True,False,1.17,3.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2014-11-20,True,True,True,49.26338,-123.12269,3,1.0,1.0,146.0,20,1125,20,20,1125,1125,20.0,1125.0,0,0,0,0,1,1,0,2022-08-08,2022-08-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,False,0.14,1.0,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-20,True,True,True,49.27796,-123.10833,7,3.0,4.0,281.0,2,1125,1,2,1125,1125,2.0,1125.0,12,39,69,70,260,98,10,2020-03-14,2023-03-12,4.78,4.8,4.74,4.8,4.86,4.86,4.72,True,False,7.12,2.0,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2013-05-10,False,True,True,49.24502,-123.10503,5,3.0,4.0,499.0,3,1125,3,3,1125,1125,3.0,1125.0,9,9,9,40,8,5,0,2021-08-24,2023-01-04,4.88,5.0,4.75,5.0,5.0,5.0,4.88,True,False,0.42,2.5,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2015-10-03,True,True,True,49.25372,-123.11815,1,1.0,1.0,76.0,30,1125,30,30,1125,1125,30.0,1125.0,6,30,60,150,7,3,1,2021-03-01,2023-02-23,4.86,4.43,4.71,5.0,5.0,4.86,4.57,False,False,0.28,1.5,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2016-07-11,False,True,True,49.2807,-123.10488,2,1.0,1.0,94.0,2,1125,2,2,1125,1125,2.0,1125.0,17,24,41,41,30,29,0,2022-02-12,2023-01-29,4.67,4.7,4.93,4.77,4.8,3.97,4.6,True,False,2.27,1.0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
2009-08-15,True,True,True,49.26625,-123.09785,2,1.0,1.0,180.0,4,1125,4,7,1125,1125,4.6,1125.0,10,16,26,88,65,27,1,2020-09-28,2023-02-20,4.92,4.95,4.82,5.0,4.98,4.97,4.82,True,True,2.17,2.0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2012-05-30,False,True,True,49.27897,-123.12185,6,2.0,3.0,260.0,30,1125,30,30,1125,1125,30.0,1125.0,14,44,74,349,2,2,0,2022-06-09,2022-09-27,5.0,5.0,5.0,5.0,5.0,5.0,4.5,False,False,0.22,2.0,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2012-05-30,False,True,True,49.27807,-123.12233,6,2.0,3.0,390.0,1,28,1,1,1,28,1.0,26.0,14,26,37,231,3,3,0,2022-09-25,2023-01-27,5.0,4.67,5.0,5.0,5.0,5.0,5.0,True,False,0.53,2.0,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
2016-10-08,False,True,True,49.24492,-123.16816,4,2.0,3.0,110.0,30,1125,30,30,1125,1125,30.0,1125.0,0,10,10,120,5,0,0,2020-07-31,2021-12-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,True,False,0.16,1.0,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
